session_id,chain_id,n,delta,mu,alpha_lr,beta_exp,D,Delta,avg_price,converged,Z_hq
325,1,2,0.6934880401346957,0.16287996250676318,0.10628586261241331,4e-06,1,0.2702747803175281,1.4106979142386311,0,0.48717948717948717
326,2,2,0.7682341072217825,0.11349935024039645,0.26689939220549275,4e-06,0,2.4820401104750755e-06,1.2268752010746007,1,0.7435897435897436
327,3,2,0.7311043812111414,0.22571541043321702,0.076341757367246,4e-06,1,0.30187203050170036,1.536203799323887,0,0.6923076923076923
328,4,2,0.7131347189132615,0.25536222889858984,0.13151120735423677,4e-06,1,0.23220542678129122,1.6079598403806532,0,0.23076923076923078
329,5,2,0.6571319469255302,0.23939155775159066,0.21688034093885017,4e-06,0,7.489390493191535e-06,1.4563857893329732,1,0.41025641025641024
330,6,2,0.6539965802339054,0.5213593106897315,0.0145556279621354,4e-06,0,4.4008203830303486e-06,1.825308781487493,1,0.5128205128205128
331,7,2,0.7530058691549935,0.5099086983684977,0.14364798592366818,4e-06,0,6.591836030635312e-06,1.8114679629026513,1,0.6153846153846154
332,8,2,0.6157123061068124,0.4987059923107728,0.30992542533414286,4e-06,1,0.26741332911205457,2.021266867243605,1,0.5128205128205128
333,9,2,0.8719251351856878,0.12686815729943038,0.01,4e-06,1,0.39976628039604345,1.477869829984332,0,0.38461538461538464
334,10,2,0.8584116516434458,0.07855370314307472,0.18936075786659742,4e-06,0,4.280739583625697e-07,1.157105960678686,1,0.6410256410256411
335,11,2,0.7992794433262401,0.05,0.24297623388151263,4e-06,0,1.590758235291997e-07,1.1000001174932663,1,0.717948717948718
336,12,2,0.8330214916087241,0.28236637117089214,0.08595559509550081,4e-06,1,0.2736626407580829,1.7049078708286594,0,0.48717948717948717
337,13,2,0.8746912632196904,0.2666608068552573,0.15928174710470835,4e-06,1,0.2686684736920619,1.9103765928071574,0,0.8461538461538461
338,14,2,0.8034068761415584,0.31026266158555416,0.22121716740574396,4e-06,0,0.0,1.5600334453368419,1,0.5641025641025641
339,15,2,0.8127894125091979,0.5454910594017601,0.042173005309974504,4e-06,0,6.977547346574754e-07,1.8544178079350924,1,0.358974358974359
340,16,2,0.8594782155487698,0.4968512553199948,0.1909155097479807,4e-06,0,9.479516931494045e-06,1.7956568704634317,1,0.5128205128205128
341,17,2,0.8178703963219318,0.5165357518610508,0.26186527319087527,4e-06,0,5.283217263613873e-06,1.8194809014031295,1,0.1794871794871795
342,18,2,0.921026299223672,0.08254835952393261,0.03903591217657325,4e-06,0,4.226101362286732e-06,1.1650960100749301,1,0.6923076923076923
343,19,2,0.9208555805896188,0.12314599779285759,0.1742736393297073,4e-06,1,0.27231998334269136,1.4733447142129499,0,0.5641025641025641
344,20,2,0.9343184081651706,0.10419772936117341,0.22550274677633275,4e-06,0,1.118389173033586e-06,1.2083438342474855,1,0.48717948717948717
345,21,2,0.9246074734411417,0.21509578600623186,0.054861786771886245,4e-06,0,2.6483379782451957e-06,1.4167910106371684,1,0.46153846153846156
346,22,2,0.8865160679680703,0.250753861336481,0.14340192614200992,4e-06,0,0.0,1.474086120461989,1,0.6410256410256411
347,23,2,0.8918560288027347,0.21212832103428503,0.2508827072675492,4e-06,0,3.228240602993603e-06,1.4117835531392857,1,0.38461538461538464
